;Adresse;CP;Ville;Latitude;Longitude;Nutella;Riz;Pates;Beurre;Caprice des dieux;Papier toilette;Pain de mie
0; 1 Avenue Des Genets;98000;Monaco ;43.740838;7.423692;5.41;2.09;;;3.5;2.26;1.55
1; 1 Avenue Du Canada Cc Alma;35200;Rennes ;48.083015;-1.681273;4.57;1.45;1.55;2.26;2.7;1.79;1.05
2; 1 Avenue Du General De Gaulle;56400;Auray ;47.6708744;-2.9935873;4.65;1.65;1.45;2.45;2.99;2.15;1.25
3; 1 Avenue Du General Sarrail;75016;Paris ;48.846584;2.255542;4.6;1.65;1.59;2.35;3.25;2.39;1.35
4; 1 Avenue Jacques Anquetil Cc Les Olympiades;95190;Goussainville ;49.021141;2.456211;;1.59;1.59;2.25;2.99;2.15;1.35
5; 1 Avenue Mendes France;33340;Lesparre-Médoc ;45.310914;-0.940914;4.6;1.59;1.55;2.29;2.99;2.15;1.25
6; 1 Bis Rue Cantelaude;33990;Hourtin ;45.194271;-1.051029;4.65;1.65;1.59;;2.99;2.29;1.29
7; 1 Boulevard Beaucerf;62200;Boulogne-sur-Mer ;50.716761;1.6134480000001;5.28;2.19;1.86;;3.35;;
8; 1 Boulevard Des Alpes;38240;Meylan ;45.202762;5.763378;;1.59;1.59;;;1.99;1.25
9; 1 Boulevard Du Marechal Juin Cc Cote De Nacre;14000;Caen ;49.209247;-0.366238;4.6;1.59;1.55;2.45;2.89;2.15;1.35
10; 1 Boulevard Mutuel;72000;Le Mans ;48.008662;0.217535;5.19;;2.1;;3.26;2.25;
11; 1 Chemin De Geles Avenue De Soulac;33320;Le Taillan-Médoc ;44.9136;-0.66869;4.65;1.59;1.43;;2.95;2.09;1.25
12; 1 Chemin De La Roseraie Cc Chateau Roussillon;66000;Perpignan ;42.702716;2.946041;4.6;1.65;1.59;;2.99;;1.35
13; 1 Chemin Du Marais;80480;Pont-de-Metz ;49.87845;2.248155;5.01;2.07;1.76;2.87;3.07;2.13;1.28
14; 1 Chemin Grange Neuve;38790;Diémoz ;45.59665;5.093637;4.99;1.96;1.91;;3.08;;
